day,temp
1,12.8
2,11.0
3,9.2
4,7.5
5,8.5
6,8.0
7,6.5
8,6.4
9,6.0
10,7.8
11,8.8
12,8.4
13,11.8
14,10.2
15,12.3
16,10.9
17,12.5
18,11.4
19,8.5
20,7.8
21,6.7
22,7.2
23,10.5
24,10.5
25,8.6
26,9.6
27,7.5
28,14.8
29,11.0
30,15.5
31,12.1
32,14.6
33,17.9
34,12.5
35,11.7
36,10.4
37,9.7
38,13.0
39,13.3
40,14.7
41,12.4
42,14.2
43,11.0
44,10.0
45,6.0
46,7.7
47,10.6
48,15.6
49,10.5
50,13.3
51,15.0
52,16.3
53,17.9
54,17.0
55,20.5
56,20.1
57,19.6
58,18.0
59,13.2
60,16.3
61,16.1
62,13.8
63,13.7
64,15.9
65,9.5
66,11.5
67,12.3
68,12.8
69,14.6
70,12.5
71,16.4
72,15.5
73,14.3
74,15.6
75,15.7
76,14.7
77,14.2
78,13.6
79,13.7
80,14.3
81,15.6
82,19.6
83,21.3
84,20.8
85,20.9
86,21.1
87,21.7
88,21.8
89,23.6
90,24.5
91,25.4
92,26.1
93,18.7
94,15.4
95,17.8
96,16.6
97,20.5
98,21.5
99,17.8
100,17.5
101,18.3
102,19.5
103,19.9
104,23.5
105,25.1
106,23.8
107,17.2
108,18.8
109,21.1
110,19.7
111,17.6
112,19.1
113,20.3
114,21.8
115,23.8
116,17.8
117,21.5
118,21.7
119,21.7
120,21.3
121,21.3
122,20.2
123,20.4
124,21.5
125,20.1
126,19.0
127,23.6
128,20.6
129,24.3
130,26.5
131,28.0
132,28.0
133,27.4
134,28.0
135,28.9
136,29.4
137,31.0
138,28.3
139,28.0
140,30.2
141,31.5
142,28.8
143,28.0
144,26.7
145,26.3
146,28.5
147,31.2
148,29.4
149,25.3
150,24.0
151,24.0
152,27.2
153,30.0
154,28.0
155,30.9
156,29.5
157,30.6
158,27.6
159,26.8
160,29.4
161,30.5
162,31.1
163,32.6
164,34.4
165,31.0
166,31.5
167,34.7
168,34.6
169,32.4
170,33.3
171,33.6
172,32.5
173,31.8
174,31.8
175,30.5
176,30.2
177,32.2
178,33.3
179,32.8
180,32.2
181,31.5
182,31.9
183,33.4
184,36.0
185,34.8
186,34.6
187,32.1
188,33.0
189,32.2
190,30.9
191,32.8
192,32.2
193,32.1
194,32.5
195,34.3
196,36.4
197,35.0
198,34.5
199,34.4
200,35.2
201,36.2
202,36.7
203,37.5
204,35.1
205,35.1
206,37.0
207,34.9
208,31.2
209,32.5
210,32.7
211,34.0
212,34.5
213,36.1
214,32.3
215,34.0
216,35.2
217,36.3
218,36.0
219,30.9
220,32.8
221,33.8
222,33.1
223,33.4
224,33.7
225,34.0
226,34.6
227,34.8
228,31.6
229,30.5
230,28.4
231,28.6
232,32.8
233,32.2
234,31.6
235,31.2
236,30.7
237,32.3
238,31.0
239,29.4
240,30.8
241,31.5
242,28.8
243,28.2
244,27.9
245,27.8
246,27.3
247,28.8
248,28.4
249,28.1
250,28.1
251,27.3
252,27.5
253,26.6
254,28.7
255,29.4
256,29.9
257,27.1
258,25.9
259,24.2
260,27.0
261,25.2
262,20.7
263,22.2
264,23.1
265,23.1
266,23.0
267,25.2
268,23.1
269,20.0
270,23.0
271,25.3
272,25.6
273,22.7
274,21.9
275,21.9
276,18.8
277,18.3
278,18.7
279,16.5
280,21.0
281,20.5
282,17.5
283,17.6
284,19.2
285,18.2
286,18.6
287,16.9
288,17.0
289,18.6
290,19.1
291,19.2
292,18.4
293,17.8
294,16.2
295,19.5
296,17.8
297,16.8
298,14.5
299,16.4
300,18.8
301,17.6
302,16.9
303,12.9
304,12.5
305,10.6
306,11.1
307,15.1
308,14.7
309,14.4
310,14.4
311,10.2
312,12.5
313,13.9
314,15.1
315,17.0
316,13.8
317,10.9
318,11.7
319,13.1
320,12.4
321,15.4
322,11.8
323,11.7
324,11.2
325,10.0
326,12.0
327,11.8
328,6.8
329,10.0
330,9.7
331,8.6
332,10.1
333,9.7
334,7.6
335,5.4
336,4.1
337,6.1
338,8.3
339,8.0
340,9.3
341,5.8
342,6.0
343,8.4
344,6.9
345,7.6
346,10.1
347,9.5
348,9.5
349,8.6
350,9.5
351,9.8
352,9.8
353,10.2
354,8.9
355,10.8
356,9.6
357,8.8
358,8.3
359,8.7
360,6.6
361,8.5
362,9.7
363,10.3
364,13.2
365,7.5
