day,temp
1,1.5
2,2.1
3,3.6
4,4.2
5,3.0
6,1.8
7,-0.9
8,-2.0
9,-0.8
10,-0.7
11,-2.0
12,-1.8
13,-0.5
14,0.2
15,1.2
16,-0.3
17,-0.3
18,-1.5
19,-2.7
20,1.5
21,0.9
22,-0.2
23,1.1
24,-0.3
25,0.6
26,0.5
27,-0.4
28,0.4
29,1.2
30,3.6
31,2.2
32,3.6
33,2.0
34,4.0
35,5.5
36,3.6
37,3.1
38,3.4
39,1.8
40,3.4
41,4.7
42,2.5
43,-0.8
44,-1.3
45,-2.8
46,-1.4
47,0.0
48,2.6
49,4.2
50,7.3
51,5.1
52,7.2
53,6.8
54,4.8
55,5.3
56,4.0
57,2.4
58,1.9
59,1.4
60,3.5
61,0.7
62,3.3
63,5.0
64,4.1
65,3.0
66,0.8
67,2.4
68,-0.3
69,1.7
70,5.4
71,5.6
72,4.8
73,5.9
74,3.2
75,7.1
76,4.5
77,3.7
78,3.5
79,1.5
80,2.0
81,2.3
82,4.6
83,4.9
84,6.5
85,6.6
86,9.2
87,7.2
88,8.7
89,9.5
90,9.1
91,6.8
92,5.7
93,2.9
94,6.0
95,3.9
96,4.1
97,2.2
98,2.3
99,6.0
100,3.5
101,6.1
102,7.4
103,5.6
104,2.1
105,5.8
106,3.9
107,4.9
108,6.7
109,6.5
110,7.2
111,8.3
112,7.1
113,10.1
114,9.9
115,9.2
116,11.6
117,8.9
118,11.4
119,12.2
120,12.1
121,11.7
122,9.3
123,8.5
124,8.6
125,10.0
126,8.2
127,10.8
128,9.9
129,10.4
130,15.0
131,12.6
132,10.0
133,9.9
134,9.8
135,8.5
136,10.3
137,11.2
138,10.6
139,10.6
140,9.5
141,12.0
142,12.2
143,14.0
144,13.2
145,11.1
146,11.3
147,12.2
148,13.7
149,13.5
150,13.5
151,14.6
152,15.3
153,17.0
154,15.6
155,14.9
156,13.0
157,15.3
158,14.3
159,13.7
160,13.9
161,13.6
162,14.0
163,15.5
164,16.4
165,16.1
166,17.1
167,17.9
168,15.9
169,15.2
170,15.0
171,15.1
172,19.4
173,19.5
174,18.2
175,17.9
176,16.2
177,18.0
178,20.0
179,20.0
180,19.9
181,18.7
182,17.4
183,19.8
184,17.9
185,16.4
186,15.8
187,19.6
188,20.8
189,17.1
190,15.3
191,17.8
192,18.3
193,19.4
194,17.5
195,15.7
196,17.6
197,17.1
198,18.2
199,18.9
200,19.4
201,20.6
202,20.9
203,21.2
204,20.8
205,15.7
206,17.4
207,18.5
208,20.1
209,20.1
210,19.4
211,17.9
212,20.1
213,18.5
214,16.4
215,17.4
216,17.9
217,15.8
218,17.1
219,19.6
220,19.7
221,18.8
222,19.4
223,20.2
224,20.8
225,18.3
226,19.1
227,20.0
228,19.2
229,18.0
230,19.1
231,18.6
232,18.2
233,20.0
234,20.1
235,19.3
236,18.6
237,18.7
238,17.2
239,18.5
240,16.8
241,14.0
242,16.7
243,17.1
244,16.0
245,17.5
246,18.4
247,17.6
248,17.9
249,18.6
250,18.2
251,19.9
252,18.5
253,18.8
254,19.0
255,18.0
256,17.6
257,18.4
258,19.5
259,18.7
260,16.9
261,19.1
262,14.3
263,12.1
264,14.7
265,14.6
266,15.5
267,13.8
268,16.7
269,16.8
270,16.2
271,15.0
272,17.2
273,15.4
274,14.8
275,15.8
276,15.9
277,16.9
278,15.2
279,12.7
280,9.3
281,12.2
282,13.4
283,10.1
284,7.1
285,9.4
286,8.8
287,8.5
288,6.9
289,7.9
290,8.5
291,8.9
292,9.8
293,10.4
294,12.7
295,10.2
296,10.1
297,11.0
298,9.1
299,6.6
300,7.5
301,7.6
302,7.6
303,10.1
304,10.3
305,10.4
306,9.2
307,7.0
308,4.8
309,4.7
310,4.3
311,5.9
312,5.5
313,9.5
314,9.7
315,8.2
316,8.4
317,9.9
318,9.5
319,8.5
320,8.9
321,7.8
322,8.6
323,6.7
324,5.4
325,7.0
326,7.3
327,4.8
328,5.5
329,2.4
330,0.5
331,0.7
332,-1.7
333,1.2
334,2.8
335,0.7
336,1.2
337,1.1
338,1.4
339,0.2
340,0.6
341,0.9
342,0.0
343,-0.6
344,0.4
345,0.0
346,1.0
347,1.3
348,2.1
349,1.0
350,0.9
351,1.2
352,0.4
353,2.2
354,3.2
355,1.6
356,0.2
357,2.9
358,3.5
359,1.5
360,0.1
361,-1.4
362,-1.2
363,0.4
364,-3.0
365,-3.0
